states,color
Tennessee,1
Missouri,2
Kentucky,3
Colorado,1
Wyoming,2
Utah,3
South_Dakota,1
Pennsylvania,1
Oklahoma,3
New_York,2
Nebraska,3
Iowa,4
Illinois,1
Idaho,1
Arkansas,4
West_Virginia,2
Virginia,4
Ohio,4
New_Mexico,2
Nevada,2
Minnesota,2
Michigan,3
Massachusetts,1
Georgia,2
Arizona,4
Wisconsin,5
Texas,1
Oregon,3
North_Carolina,3
Montana,3
Mississippi,2
Maryland,3
Kansas,4
Indiana,2
Alabama,3
Vermont,3
Rhode_Island,3
North_Dakota,4
New_Jersey,3
New_Hampshire,2
Louisiana,3
Delaware,2
Connecticut,4
California,1
Washington,2
South_Carolina,1
Florida,1
Maine,1
Hawaii,1
Alaska,1
